[2023-11-15 09:29:13] {Debug}{\mainwindow.cpp:65} 		 on_pushButton_clicked
[2023-11-15 09:29:13] {Debug}{\mainwindow.cpp:66} 		 adb_absolute_path: "E:/qt_pro/build-win_client-Desktop_Qt_6_5_2_MinGW_64_bit-Debug/third-tools/adb.exe"
[2023-11-15 09:29:13] {Debug}{\mainwindow.cpp:75} 		 readAllStandardOutput: "    versionName=12.2.2\r\n"
[2023-11-15 09:29:46] {Debug}{mainwindow.cpp:65} 		 on_pushButton_clicked
[2023-11-15 09:29:46] {Debug}{mainwindow.cpp:66} 		 adb_absolute_path: "E:/qt_pro/build-win_client-Desktop_Qt_6_5_2_MinGW_64_bit-Debug/third-tools/adb.exe"
[2023-11-15 09:29:46] {Debug}{mainwindow.cpp:75} 		 readAllStandardOutput: "    versionName=12.2.2\r\n"
[2023-11-15 11:04:14] {Debug}{mainwindow.cpp:66} 		 on_pushButton_clicked
[2023-11-15 11:04:14] {Debug}{mainwindow.cpp:67} 		 adb_absolute_path: "E:/qt_pro/build-win_client-Desktop_Qt_6_5_2_MinGW_64_bit-Debug/third-tools/adb.exe"
[2023-11-15 11:20:34] {Debug}{mainwindow.cpp:72} 		 on_pushButton_clicked
[2023-11-15 11:20:34] {Debug}{mainwindow.cpp:73} 		 adb_absolute_path: "E:/qt_pro/build-win_client-Desktop_Qt_6_5_2_MinGW_64_bit-Debug/third-tools/adb.exe"
[2023-11-15 11:20:35] {Debug}{mainwindow.cpp:72} 		 on_pushButton_clicked
[2023-11-15 11:20:35] {Debug}{mainwindow.cpp:73} 		 adb_absolute_path: "E:/qt_pro/build-win_client-Desktop_Qt_6_5_2_MinGW_64_bit-Debug/third-tools/adb.exe"
[2023-11-15 11:20:41] {Debug}{mainwindow.cpp:72} 		 on_pushButton_clicked
[2023-11-15 11:20:41] {Debug}{mainwindow.cpp:73} 		 adb_absolute_path: "E:/qt_pro/build-win_client-Desktop_Qt_6_5_2_MinGW_64_bit-Debug/third-tools/adb.exe"
[2023-11-15 11:20:42] {Debug}{mainwindow.cpp:72} 		 on_pushButton_clicked
[2023-11-15 11:20:42] {Debug}{mainwindow.cpp:73} 		 adb_absolute_path: "E:/qt_pro/build-win_client-Desktop_Qt_6_5_2_MinGW_64_bit-Debug/third-tools/adb.exe"
[2023-11-15 11:21:52] {Debug}{mainwindow.cpp:72} 		 on_pushButton_clicked
[2023-11-15 11:21:52] {Debug}{mainwindow.cpp:73} 		 adb_absolute_path: "E:/qt_pro/build-win_client-Desktop_Qt_6_5_2_MinGW_64_bit-Debug/third-tools/adb.exe"
